Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name
4/15/2008,ODI,West Indies,No Result,,"Beausejour Stadium, Gros Islet",2008,male,West Indies,field,,Sri Lanka in West Indies ODI Series
5/8/2008,ODI,India,Opponent,8 wickets,Welagedara Stadium,2008,female,Sri Lanka,bat,SL Pujare,Women's Asia Cup
5/11/2008,ODI,India,Opponent,177 runs,Welagedara Stadium,2008,female,India,bat,A Rawat,Women's Asia Cup
6/25/2008,ODI,Bangladesh,Sri Lanka,131 runs,Gaddafi Stadium,2008,male,Bangladesh,field,KC Sangakkara,Mens ODI Asia Cup
6/26/2008,ODI,United Arab Emirates,Sri Lanka,142 runs,Gaddafi Stadium,2008,male,Sri Lanka,bat,BAW Mendis,Mens ODI Asia Cup
6/29/2008,ODI,Pakistan,Sri Lanka,64 runs,National Stadium,2008,male,Pakistan,field,KC Sangakkara,Mens ODI Asia Cup
6/30/2008,ODI,Bangladesh,Sri Lanka,158 runs,National Stadium,2008,male,Sri Lanka,bat,ST Jayasuriya,Mens ODI Asia Cup
7/3/2008,ODI,India,Opponent,6 wickets,National Stadium,2008,male,Sri Lanka,bat,MS Dhoni,Mens ODI Asia Cup
7/6/2008,ODI,India,Sri Lanka,100 runs,National Stadium,2008,male,India,field,BAW Mendis,Mens ODI Asia Cup
7/23/2008,Test,India,Sri Lanka,239 runs,Sinhalese Sports Club Ground,2008,male,Sri Lanka,bat,M Muralitharan,India in Sri Lanka Test Series
7/31/2008,Test,India,Opponent,170 runs,Galle International Stadium,2008,male,India,bat,V Sehwag,India in Sri Lanka Test Series
8/8/2008,Test,India,Sri Lanka,8 wickets,P Saravanamuttu Stadium,2008,male,India,bat,KC Sangakkara,India in Sri Lanka Test Series
8/18/2008,ODI,India,Sri Lanka,8 wickets,Rangiri Dambulla International Stadium,2008,male,India,bat,BAW Mendis,India in Sri Lanka ODI Series
8/20/2008,ODI,India,Opponent,3 wickets,Rangiri Dambulla International Stadium,2008,male,India,field,Z Khan,India in Sri Lanka ODI Series
8/24/2008,ODI,India,Opponent,33 runs,R Premadasa Stadium,2008,male,India,bat,MS Dhoni,India in Sri Lanka ODI Series
8/27/2008,ODI,India,Opponent,46 runs,R Premadasa Stadium,2008,male,India,bat,SK Raina,India in Sri Lanka ODI Series
8/29/2008,ODI,India,Sri Lanka,112 runs,R Premadasa Stadium,2008,male,Sri Lanka,bat,KMDN Kulasekara,India in Sri Lanka ODI Series
10/11/2008,T20,Pakistan,Opponent,3 wickets,Maple Leaf North-West Ground,2008,male,Pakistan,field,Shoaib Malik,T20 Canada
10/13/2008,T20,Pakistan,Sri Lanka,5 wickets,Maple Leaf North-West Ground,2008,male,Sri Lanka,field,ST Jayasuriya,T20 Canada
11/20/2008,ODI,Zimbabwe,Sri Lanka,6 wickets,Harare Sports Club,2008,male,Sri Lanka,field,M Muralitharan,Sri Lanka in Zimbabwe ODI Series
11/22/2008,ODI,Zimbabwe,Sri Lanka,9 wickets,Harare Sports Club,2008,male,Zimbabwe,bat,BAW Mendis,Sri Lanka in Zimbabwe ODI Series
11/24/2008,ODI,Zimbabwe,Sri Lanka,5 runs,Harare Sports Club,2008,male,Zimbabwe,field,H Masakadza,Sri Lanka in Zimbabwe ODI Series
11/30/2008,ODI,Zimbabwe,Sri Lanka,19 runs,Harare Sports Club,2008,male,Zimbabwe,field,M Muralitharan,Sri Lanka in Zimbabwe ODI Series
1/3/2009,Test,Bangladesh,Sri Lanka,465 runs,Chittagong Divisional Stadium,2009,male,Sri Lanka,bat,TM Dilshan,Sri Lanka in Bangladesh Test Series
1/14/2009,ODI,Bangladesh,Opponent,5 wickets,Shere Bangla National Stadium,2009,male,Bangladesh,field,Shakib Al Hasan,Tri-Nation Tournament in Bangladesh
1/20/2009,ODI,Pakistan,Opponent,8 wickets,National Stadium,2009,male,Sri Lanka,bat,Salman Butt,Sri Lanka in Pakistan ODI Series
1/21/2009,ODI,Pakistan,Sri Lanka,129 runs,National Stadium,2009,male,Pakistan,field,TM Dilshan,Sri Lanka in Pakistan ODI Series
1/24/2009,ODI,Pakistan,Sri Lanka,234 runs,Gaddafi Stadium,2009,male,Sri Lanka,bat,TM Dilshan,Sri Lanka in Pakistan ODI Series
1/28/2009,ODI,India,Opponent,6 wickets,Rangiri Dambulla International Stadium,2009,male,India,field,ST Jayasuriya,India in Sri Lanka ODI Series
1/31/2009,ODI,India,Opponent,15 runs,R Premadasa Stadium,2009,male,India,bat,I Sharma,India in Sri Lanka ODI Series
2/3/2009,ODI,India,Opponent,147 runs,R Premadasa Stadium,2009,male,India,bat,Yuvraj Singh,India in Sri Lanka ODI Series
2/5/2009,ODI,India,Opponent,67 runs,R Premadasa Stadium,2009,male,India,bat,G Gambhir,India in Sri Lanka ODI Series
2/8/2009,ODI,India,Sri Lanka,68 runs,R Premadasa Stadium,2009,male,Sri Lanka,bat,KC Sangakkara,India in Sri Lanka ODI Series
2/10/2009,T20,India,Opponent,3 wickets,R Premadasa Stadium,2009,male,Sri Lanka,bat,YK Pathan,
2/21/2009,Test,Pakistan,Draw,,National Stadium,2009,male,Sri Lanka,bat,Younis Khan,Sri Lanka in Pakistan Test Series
3/1/2009,Test,Pakistan,Draw,,Gaddafi Stadium,2009,male,Pakistan,field,,Sri Lanka in Pakistan Test Series
